iter	Logloss
0	0.6857537695
1	0.6787120728
2	0.6718813238
3	0.6660691965
4	0.6606804163
5	0.6558728292
6	0.6518322824
7	0.6473263764
8	0.6433419631
9	0.6395680501
10	0.6363596471
11	0.6333720337
12	0.6308445152
13	0.6283819791
14	0.6257273242
15	0.6230346742
16	0.6211185587
17	0.6189801649
18	0.6170230104
19	0.6150894882
20	0.6136612547
21	0.6119438754
22	0.6104023876
23	0.6089556731
24	0.607532829
25	0.6064366119
26	0.6053261751
27	0.6042469956
28	0.6032644673
29	0.6019616485
30	0.6010460801
31	0.5999282459
32	0.5990184478
33	0.5980806288
34	0.5973332031
35	0.5965188234
36	0.5956853923
37	0.5948410453
38	0.593932657
39	0.5933822563
40	0.5926424387
41	0.5920061716
42	0.5914685783
43	0.5908350705
44	0.5902859216
45	0.5897155811
46	0.589159865
47	0.5885329061
48	0.5879776221
49	0.5873879521
50	0.5867656953
51	0.5860673403
52	0.5855880267
53	0.5851445885
54	0.584727321
55	0.5843295905
56	0.5837485337
57	0.5833177643
58	0.5829553173
59	0.5824628832
60	0.5819964267
61	0.581695335
62	0.5812842715
63	0.5809184137
64	0.5805916291
65	0.5803068876
66	0.5798950956
67	0.5795591215
68	0.579121083
69	0.5787354012
70	0.5782676147
71	0.5778760342
72	0.5775446341
73	0.5771489236
74	0.5768678088
75	0.5765380348
76	0.5762426021
77	0.5760452576
78	0.5757321143
79	0.5752946915
80	0.5749157006
81	0.5745469657
82	0.5742423127
83	0.5739962447
84	0.573759535
85	0.5735108044
86	0.5732316732
87	0.5729811369
88	0.5727170897
89	0.5724941589
90	0.5722185768
91	0.5718813752
92	0.5716739699
93	0.5713953047
94	0.5711719171
95	0.5709683325
96	0.5707482261
97	0.5705013884
98	0.570294021
99	0.5700037013
100	0.5697121798
101	0.5695210222
102	0.5692906519
103	0.5690957102
104	0.568788701
105	0.5684977248
106	0.5682655074
107	0.5680666714
108	0.5679387829
109	0.5677260495
110	0.5675551137
111	0.5673600332
112	0.5671261662
113	0.5669585225
114	0.5667679763
115	0.5665191106
116	0.56635171
117	0.5661375969
118	0.5659650435
119	0.5657907078
120	0.5655888562
121	0.5653214527
122	0.5651798578
123	0.5650286261
124	0.5648548636
125	0.5647607908
126	0.5645927601
127	0.5644438513
128	0.5642826513
129	0.5640423316
130	0.5639264164
131	0.5637267501
132	0.563577643
133	0.5633958297
134	0.5632583944
135	0.5629942032
136	0.5628006812
137	0.5625982173
138	0.5623792744
139	0.5622092886
140	0.5620107584
141	0.5618475685
142	0.5617067011
143	0.5615824965
144	0.5614024692
145	0.5612566032
146	0.5611115994
147	0.5609397374
148	0.5607831461
149	0.5606498707
150	0.5605619513
151	0.5603524659
152	0.5601670867
153	0.5599989685
154	0.5598827812
155	0.5597716719
156	0.5596249381
157	0.5595015445
158	0.5593881401
159	0.5592088774
160	0.5590521409
161	0.5589393326
162	0.5588251923
163	0.5586685815
164	0.5584906564
165	0.5583385852
166	0.5582206582
167	0.5580905145
168	0.5579706501
169	0.5578180403
170	0.5576971289
171	0.5575863767
172	0.5575053097
173	0.557385922
174	0.5572117466
175	0.5570975454
176	0.5569711598
177	0.5568149984
178	0.5566604464
179	0.5565376068
180	0.5563824827
181	0.5562746961
182	0.5561247111
183	0.5560095814
184	0.5558753119
185	0.5557624095
186	0.555615894
187	0.5554705982
188	0.5553685017
189	0.5552738974
190	0.5550973331
191	0.5549656954
192	0.5548316262
193	0.5547095142
194	0.5545653282
195	0.5544394973
196	0.5543100883
197	0.5541152756
198	0.5540014334
199	0.5538786042
200	0.5536883
201	0.5536117575
202	0.553512936
203	0.553398007
204	0.5533119706
205	0.5532144913
206	0.55309104
207	0.5530532168
208	0.5529720083
209	0.5529174807
210	0.5527595429
211	0.5526615058
212	0.5525277939
213	0.5524469111
214	0.5522955605
215	0.5522164528
216	0.5520868623
217	0.5519931426
218	0.5518956109
219	0.5517636304
220	0.5516931831
221	0.5515682712
222	0.5514902175
223	0.5513801303
224	0.551225546
225	0.5511297289
226	0.5509877941
227	0.550844136
228	0.550715464
229	0.5506005457
230	0.5504986449
231	0.5504088237
232	0.5502765068
233	0.5501834717
