iter	Passed	Remaining
0	23	23719
1	41	20876
2	60	19972
3	76	19138
4	98	19579
5	115	19204
6	133	18925
7	151	18784
8	168	18516
9	186	18428
10	204	18368
11	221	18252
12	239	18210
13	257	18147
14	275	18119
15	293	18074
16	309	17920
17	326	17832
18	342	17678
19	357	17532
20	374	17468
21	394	17535
22	411	17485
23	429	17465
24	447	17446
25	463	17357
26	481	17334
27	498	17293
28	515	17267
29	529	17136
30	547	17098
31	563	17051
32	579	16978
33	595	16917
34	612	16896
35	626	16767
36	646	16828
37	664	16814
38	683	16841
39	702	16862
40	720	16844
41	738	16848
42	760	16915
43	779	16925
44	800	16987
45	824	17106
46	855	17344
47	880	17463
48	900	17484
49	923	17543
50	942	17530
51	959	17494
52	977	17462
53	995	17440
54	1013	17408
55	1030	17366
56	1048	17339
57	1065	17309
58	1084	17304
59	1102	17268
60	1120	17252
61	1140	17248
62	1162	17295
63	1185	17340
64	1211	17425
65	1230	17415
66	1254	17466
67	1276	17500
68	1297	17509
69	1322	17568
70	1342	17565
71	1362	17555
72	1382	17552
73	1403	17562
74	1424	17570
75	1443	17544
76	1462	17536
77	1482	17528
78	1498	17469
79	1515	17422
80	1532	17384
81	1550	17361
82	1575	17408
83	1602	17470
84	1623	17473
85	1642	17452
86	1663	17458
87	1685	17470
88	1704	17445
89	1724	17435
90	1751	17495
91	1769	17463
92	1790	17461
93	1809	17437
94	1829	17427
95	1849	17413
96	1874	17451
97	1903	17518
98	1923	17504
99	1943	17492
100	1959	17439
101	1985	17478
102	2004	17459
103	2021	17419
104	2039	17382
105	2056	17348
106	2081	17369
107	2099	17338
108	2116	17297
109	2133	17259
110	2150	17226
111	2168	17189
112	2184	17149
113	2202	17114
114	2219	17080
115	2236	17044
116	2254	17015
117	2272	16982
118	2300	17034
119	2355	17273
120	2378	17279
121	2400	17278
122	2419	17252
123	2439	17233
124	2464	17250
125	2483	17229
126	2510	17258
127	2530	17236
128	2550	17219
129	2572	17214
130	2610	17317
131	2745	18053
132	2795	18223
133	2894	18706
134	2947	18884
135	2991	19005
136	3012	18974
137	3035	18961
138	3057	18941
139	3083	18941
140	3105	18916
141	3124	18876
142	3141	18827
143	3158	18777
144	3177	18734
145	3195	18689
146	3218	18674
147	3237	18637
148	3254	18589
149	3272	18545
150	3290	18501
151	3308	18457
152	3325	18412
153	3351	18409
154	3378	18416
155	3403	18413
156	3426	18397
157	3450	18388
158	3468	18345
159	3487	18307
160	3504	18264
161	3522	18222
162	3540	18180
163	3557	18132
164	3574	18088
165	3592	18047
166	3609	18002
167	3628	17967
168	3647	17933
169	3666	17903
170	3690	17892
171	3711	17866
172	3732	17844
173	3751	17808
174	3770	17777
175	3841	17987
176	3871	18003
177	3897	17998
178	3918	17973
179	3941	17957
180	3962	17930
181	3980	17892
182	3999	17857
183	4018	17821
184	4037	17786
185	4066	17796
186	4086	17764
187	4104	17728
188	4123	17692
189	4142	17660
190	4160	17622
191	4177	17581
192	4196	17546
193	4218	17526
194	4244	17523
195	4267	17506
196	4294	17503
197	4317	17486
198	4342	17479
199	4364	17458
200	4385	17432
201	4412	17433
202	4440	17433
203	4462	17412
204	4494	17429
205	4519	17419
206	4544	17410
207	4565	17384
208	4600	17412
209	4634	17435
210	4656	17413
211	4677	17386
212	4694	17345
213	4727	17363
214	4764	17394
215	4794	17401
216	4829	17427
217	4849	17396
218	4875	17388
219	4903	17384
220	4927	17370
221	4957	17372
222	4976	17341
223	5003	17334
224	5022	17298
225	5041	17265
226	5059	17229
227	5077	17192
228	5096	17157
229	5115	17125
230	5133	17090
231	5152	17057
232	5171	17022
233	5190	16989
234	5210	16962
235	5230	16931
236	5248	16898
237	5268	16867
238	5285	16829
239	5303	16794
240	5322	16762
241	5340	16726
242	5356	16687
243	5373	16649
244	5391	16614
245	5408	16577
246	5426	16541
247	5444	16508
248	5465	16484
249	5483	16449
250	5500	16413
251	5517	16376
252	5534	16342
253	5556	16318
254	5576	16291
255	5595	16261
256	5615	16233
257	5633	16201
258	5655	16180
259	5673	16147
260	5692	16119
261	5711	16088
262	5729	16055
263	5746	16021
264	5763	15986
265	5783	15959
266	5800	15923
267	5817	15889
268	5834	15854
269	5851	15820
270	5868	15786
271	5885	15752
272	5905	15725
273	5923	15694
274	5941	15663
275	5963	15642
276	5981	15612
277	6002	15588
278	6027	15575
